,review_body,stars,language,translated_review
28,"No muy recomendable, ya que es complicado poner lo que interesa en el marcador, por ejemplo si quieres que marque las calorias cuesta mucho hasta que lo consigues, a veces, ni lo consigues.",1,es,"Not highly recommended, since it is difficult to put what you are interested in on the scoreboard, for example if you want it to mark the calories it costs a lot until you get it, sometimes you don't even get it."
29,"No he podido probarlo. Dos veces pedido, dos veces venía aboyado (SEUR). Y la devolución aún esperando a que lo recoja el primero y ya hace cinco días (CELERITAS).",1,es,"I haven't been able to test it. Twice ordered, twice it came damaged (SEUR). And the return is still waiting for the first person to pick it up and it's been five days now (CELERITAS)."
30,Buen producto estoy muy satisfecho,5,es,Good product I am very satisfied
31,"Es casi imposible de poner, el cristal deja muchas burbujas y la lámina de plástico también, he tenido que tirar el primer par y el otro no lo voy a poner.",1,es,"It is almost impossible to put on, the glass leaves a lot of bubbles and so does the plastic sheet, I had to throw away the first pair and I am not going to put the other one on."
32,"La calidad es la forma en que lo imaginé. Una funda superior para el iPhone 7, encierra perfecta como debería ser. El caso ha cumplido con mis requisitos: es agradable y ligero, protege contra los impactos, es discreto y no causa una impresión barata.",4,es,"The quality is the way I imagined it. A superior case for the iPhone 7, it fits perfectly as it should. The case has met my requirements: it is nice and light, protects against impacts, is discreet and does not make a cheap impression."
33,Mejor de lo ke esperava Muy bonita y elegante,4,es,Better than I expected. Very pretty and elegant.
34,"Es un producto engomado no es de cristal como en el caso de los moviles, el tacto no es muy suave pero quedan bien puesta, cuesta un poco la instalación y cuesta algo quitarle las burbujas pero poco a poco quedan bastante bien puesta. Una vez puesta duran bastante sin despegarse al menos que andes mucho con agua o polvo.",4,es,"It is a rubberized product, it is not glass like in the case of mobile phones, the touch is not very soft but they fit well, it takes a bit to install and it takes a bit to remove the bubbles but little by little they fit quite well. Once put on, they last quite a while without coming off unless you walk around a lot in water or dust."
35,Me lo tuvieron que mandar de segunda vez la primera llegó averiada,3,es,"They had to send it to me a second time, the first one arrived damaged"
36,"no se si es por que estaba a mucha potencia y casi sin agua ,pero han empezado a salir llamaradas de fuego ...menudo susto",2,es,"I don't know if it's because it was at too much power and almost without water, but flames of fire have started to come out... what a scare."
37,Para llevar de viaje y en el coche estupendo,3,es,Great to take on a trip and in the car
38,"Buen altavoz, con un sonido muy bueno para lo pequeño que es, no esperes mucha potencia es para lo que es... También tiene NFC muy como para emparejar con dispositivos. Recomiendo si quieres un buen altavoz portátil no muy grande.",5,es,"Good speaker, with a very good sound for how small it is, don't expect a lot of power for what it is... It also has NFC, very suitable for pairing with devices. I recommend if you want a good portable speaker that is not too big."
39,"Estoy muy contento con la compra, con la primera carga he cargado 3 veces un iphone 5 SE y 2 un reproductor mp3. Es ligera, teniendo en cuenta la potencia, y cómoda al poder llevar el adaptador para iphone en un pequeño hueco que queda oculto por el cable plano. La recomiendo.",5,es,"I am very happy with the purchase, with the first charge I have charged an iPhone 5 SE 3 times and an mp3 player 2 times. It is light, taking into account the power, and comfortable as you can carry the iPhone adapter in a small hole that is hidden by the flat cable. I recommend it."
40,"Esperaba otra cosa , según la descripción era más pequeño de lo que es en realidad. a a a a",2,es,"I expected something else, according to the description it was smaller than it really is. a to a to"
41,"He estado probando drones de profesionales y casuales durante un tiempo, y tengo que decir que este drone para iniciarse decepciona. Se pierde con facilidad el control al alcanzar mínimo de 15 - 20 metros, la calidad de video muy básica, la señal wifi se pierde a ratos, el diseño es lo que mas se destaca, ya que es un clon del drone dji mavic pro. Lo que mas me preocupa, es el control remoto del drone, las antenas son dos paneles de plástico que no hacen nada, es solo decoración.",2,es,"I've been testing professional and casual drones for a while, and I have to say that this entry-level drone disappoints. Control is easily lost when reaching a minimum of 15 - 20 meters, the video quality is very basic, the Wi-Fi signal is lost at times, the design is what stands out the most, since it is a clone of the DJI Mavic Pro drone. What worries me the most is the remote control of the drone, the antennas are two plastic panels that do nothing, it's just decoration."
42,No me llego nunca el que pedi. Pero después de contactar con vendedor muy amable me volvió al enviar otro y sin ningún cargo. Es muy bonito queda muy bien. Y el precio genial,3,es,"I never got the one I ordered. But after contacting a very kind seller, he sent me another one again and without any charge. It's very pretty, it fits very well. And the price is great"
43,me fue bien asta el sexto mes...despues...problemas no funcionaba y el servicio tecnico un desastre...no te lo reponen ni te devuelven los gastos generados.,2,es,It went well for me until the sixth month... then... problems it didn't work and the technical service was a disaster... they don't replace it or refund the expenses generated.
44,Están muy bien y son fuertes y muy bonitas,4,es,They are very good and they are strong and very pretty
45,"El peine no está mal siendo una copia, (lo digo porque no lleva el nombre del peine por el lado de las cerdas y el original si lo lleva) , lo que no me gusta es que al no ser el original es muy caro de precio y las fotos que pone el vendedor si son del peine original porque ahí si aparece. Está vendiendo algo que no es verdad. Además ya tengo la duda de que peine igual que el original",2,es,"The comb is not bad being a copy, (I say this because it does not have the name of the comb on the side of the bristles and the original does), what I don't like is that since it is not the original it is very expensive in price. And the photos that the seller posts are of the original comb because it does appear there. He is selling something that is not true. Also, I already have a doubt that it looks the same as the original."
46,"Es una decepción de peluche, los comprados en un bazar de dos euros son mejores , lo peor de todo es que es feo no vale lo que cuesta",1,es,"It's a plush disappointment, the ones bought at a two-euro bazaar are better, the worst of all is that it's ugly, it's not worth what it costs"
47,"La rapidez del envío, el libro es para un sobrino",5,es,"The speed of shipping, the book is for a nephew"
48,Los guantes que me llegaron no son los que se muestran en la foto,2,es,The gloves that arrived are not the ones shown in the photo.
49,con este disco duro de 4 teras no he tenido absolutamente ningún problema es fiable y muy rápido mucho más que el western Digital que también tengo de 3 teras lo recomiendo,4,es,"With this 4 tera hard drive I have had absolutely no problems, it is reliable and very fast, much faster than the Western Digital that I also have with 3 tera, I recommend it"
50,"No comparto las otras opiniones. Es difícil de aplicar porque como dice el fabricante no puedes dejar secar y has de aplicar en trozos de unos 15 cms cuadrados, y pasar en trapo de brillo seguidamente, sino, quedan marcas, lo que hace que se pierda 4 veces más tiempo que con un pulimento un poco bueno. No puedes dar por ejemplo una aleta o el capó y luego sacar brillo, imposible quedan muchas marcas de aplicación (no sé si se aprecian mucho en la foto) Además no creo que lleve cera o si lleva no es muy buena porque tras aplicar una capa en una semana a desparecido y las gotas de agua no resbalan como con una cera buena que aguanta mucho más tiempo la película. No lo veo práctico. Es como simplemente para dar brillo de exposición pero apenas protege y dada su compleja aplicación no es interesante. Son mejores los de Sonax si buscas algo más fácil de aplicar y que proteja más.",2,es,"I don't share the other opinions. It is difficult to apply because, as the manufacturer says, you cannot let it dry and you have to apply it in pieces of about 15 square centimeters, and wipe it with a shine cloth immediately, otherwise, marks will remain, which means that you waste 4 times more time than with a bit of a good polish. You can't give, for example, a fin or the hood and then polish it, it's impossible to leave many application marks (I don't know if they can be seen much in the photo). Also, I don't think it has wax or if it does, it's not very good because after applying a coat In a week it has disappeared and the water drops do not slide like with a good wax that holds the film much longer. I don't see it practical. It is like simply giving a shine for exhibition but it barely protects and given its complex application it is not interesting. The Sonax ones are better if you are looking for something easier to apply and that protects more."
51,Es lo que yo buscaba...justo. Y el precio muy ajustado a la calidad. Enhorabuena por el producto,5,es,It's what I was looking for...just right. And the price is very adjusted to the quality. Congratulations on the product
52,"Pedi cuatro de ellos dos no funcionaban,aunque les cambie las pilas,me mandan otros nuevos y vienen igual ninguno va imagino que seran las pilas,deverian comprobarlos antes de enviarlos,por lo demas bien",3,es,"I ordered four of them, two of them did not work, although I changed the batteries, they sent me new ones and they come the same, none of them work, I imagine they are the batteries, they should be checked before sending them, otherwise good"
53,Como relor para niños es bonito y alegre. Cuentapasos y pulsaciones en absoluto preciso. El medidor de tension no dectecta.,2,es,As a children's watch it is pretty and cheerful. Counts steps and keystrokes at all precisely. The tension meter does not detect.
54,Son un poco duros. Los compre porque mis auricularea Phillips que llevaba 10 años comprando para la oficina ya no estan disponibles. No les uso mucho porque me molestan.,3,es,They are a little hard. I bought them because my Philips headphones that I had been buying for the office for 10 years are no longer available. I don't use them much because they bother me.
55,Recuerdo esta colonia como una de las mejores que había tenido por su durabilidad y olor dulzón muy chulo. Ahora parece otra totalmente distinta que casi no dá olor y dura bien poco. Una pena. Habrá que pensar en otras para la próxima vez.,2,es,I remember this cologne as one of the best I had ever had because of its durability and very cool sweet smell. Now it looks like a totally different one that has almost no smell and lasts very little. A shame. We will have to think of others for next time.
56,Me llego con un día con retraso y al abrirlo el camión tiene un arañazo en la parte delantera del camión (encima del capo). Creo que con lo que vale tiene que venir intacto....,3,es,"It arrived a day late and when I opened it, the truck had a scratch on the front of the truck (above the hood). I think that with what it is worth it has to come intact...."
57,"No tapa completamente la pantalla, deja algo menos de 1 mm. Proteger, protege. Al no cubrir la esfera, todos los golpes o roces se los lleva, pero los bordes se descascarillan muy rápidamente. Lo he usado 3 semanas sin protector, y no he tenido problemas, solo algún susto al golpearlo, pero sin consecuencias. El cristal una vez puesto ya estaba marcado en el borde a la semana. La foto es con 1 mes de uso aprox.",2,es,"It does not completely cover the screen, it leaves just less than 1 mm. Protect, protect. By not covering the dial, any bumps or scratches are taken away, but the edges chip very quickly. I have used it for 3 weeks without a protector, and I have had no problems, only some scares when hitting it, but without consequences. The glass once installed was already marked on the edge within a week. The photo is with approximately 1 month of use."
58,Mi sobrina quedo encantada,5,es,My niece was delighted
59,"La verdad es que me esperaba un producto algo mas flojo. Funciona bien, no hace ruidos extraños. No distorsiona el sonido en limpio. Por ponerle un pero: quizas debería de tener el sonido algo mas agudo o añadirle un control de graves y medios. Solo con los agudos no basta y no llega a notarse mucho. En general bien (como he dicho).",5,es,"The truth is that I was expecting a somewhat weaker product. It works well, it doesn't make strange noises. It does not distort the clean sound. To give it a but: perhaps it should have the sound a little higher or add a bass and midrange control. The treble alone is not enough and it is not very noticeable. Overall good (as I said)."
60,"No funcióna, no se enciende. Ni luz led ni nada. Me compraré otra, de otra marca. Aproveche una oferta flash, y ya lo tengo para devolver.",1,es,"It doesn't work, it doesn't turn on. No LED light or anything. I'll buy another one, from another brand. I took advantage of a flash offer, and I already have it to return."
61,Estoy aprendiendo pero la verdad que se me ajusta muy bien a la mano. Ahora que ya he disparado con ella y la he utilizado bastante me encanta y el láser es una pasada,4,es,"I'm learning but the truth is that it fits my hand very well. Now that I've shot with it and used it quite a bit, I love it and the laser is amazing."
62,"Me parece un colchón cómodo con una gran relación calidad-precio. Tiene una dureza media, no es muy duro ni demasiado blando y se adapta bien.",4,es,"I find it a comfortable mattress with a great quality-price ratio. It has a medium hardness, it is neither too hard nor too soft and it adapts well."
63,"las herramientas no son de buena calidad, sobre todo por el precio que tiene.",3,es,"The tools are not of good quality, especially for the price."
64,Me compré este producto para mí GoPro Hero 7 y bueno pues lo de estanco según tenga el día a partir de los 15 metros empieza a meter algo de agua para dentro. lo de estanco pues bueno.... también es cierto que por el precio que tiene es lo que recibes,2,es,"I bought this product for my GoPro Hero 7 and well, the waterproof thing, depending on the day, starts at 15 meters and starts to get some water inside. The tobacconist thing, well... it's also true that for the price it is, that's what you get."
65,Cumple con su función al 100%,3,es,It fulfills its function 100%
66,entrega rápida PERO CON UNA ROZADURA EN LA PARTE DERECHA COMO SE VE EN LA FOTO,3,pt,fast delivery BUT WITH A SCRATCH ON THE RIGHT SIDE AS SEEN IN THE PHOTO
67,"Las especificaciones tecnicas estan mal. Pone que mide 0,8 cm de ancho y mide 1cm. Por lo que no he podido utilizarlo donde necesitaba. La entrega muy rapida",2,es,The technical specifications are wrong. It says it measures 0.8 cm wide and measures 1cm. So I haven't been able to use it where I needed to. Very fast delivery
68,No es nada del otro mundo,3,es,It's nothing from the other world
69,"Viene con adhesivo 3M, la uso en una impresora 3D, de momento aguanta bien la temperatura y tiene gran magnetismo, agarra el fleje perfectamente, sobrado...",4,es,"It comes with 3M adhesive, I use it in a 3D printer, so far it holds the temperature well and has great magnetism, it grips the strap perfectly, more than enough..."
70,"La verdad es que para cepillar al perro vale y es cómodo, pero el mango que tiene una pequeña flexibilidad termina rompiéndose.",2,es,"The truth is that it is fine and comfortable for brushing the dog, but the handle, which has a little flexibility, ends up breaking."
71,"Muy práctico hasta que a final del pasado mes de noviembre dejó de funcionar. Se le acabó la batería una noche y al ponerlo a cargar no cargaba. Pantalla en gris. No hacía ni el intento. Lo he mandado al servicio técnico de TOMTOM y me piden 95 euros por repararlo. Ni siquiera me indican qué es lo que le pasa, se limitan a decir que el problema no está cubierto por la garantía y que si lo quiero devuelta y arreglado tengo que pagar 95 euros. Espero poder solucionarlo, con TOMTOM o con AMAZON porque no es normal que en menos de 6 meses se estropee un reloj sin haber tenido mal uso o sufrir un accidente y que encima me pidan ese dineral por repararlo.",1,es,"Very practical until the end of last November when it stopped working. The battery ran out one night and when I put it on charge it wouldn't charge. Gray screen. He didn't even make an attempt. I have sent it to TOMTOM technical service and they ask me for 95 euros to repair it. They don't even tell me what's wrong, they just say that the problem is not covered by the warranty and that if I want it returned and fixed I have to pay 95 euros. I hope to be able to solve it, with TOMTOM or with AMAZON because it is not normal for a watch to break in less than 6 months without having been misused or suffering an accident and on top of that they ask me for that money to repair it."
72,"Muy malos, ningún niño de la fiesta lo quiso, están pegados y algunos se rompían al abrirlos, además son muy pequeños y muy cortos, no valen para bajar escaleras",1,es,"Very bad, no child at the party wanted it, they are glued together and some broke when opened, they are also very small and very short, they are not suitable for going down stairs"
73,"El ratón me ha gustado mucho es muy cómodo y se adapta perfecto a la mano, los materiales son de buena calidad y las luces RGB quedan muy bien, ideal para gamers llevo una semana con él y encandado",5,es,"I really liked the mouse, it is very comfortable and fits perfectly in the hand, the materials are of good quality and the RGB lights look very good, ideal for gamers, I have had it for a week and I love it"
74,Se ajusta bien. La visibilidad es mala Se raya muchísimo,3,es,It fits well. Visibility is poor. It is scratched a lot.
75,"Las compré por las buenas opiniones que leí al respecto y la relación con el precio. La primera sensación es que no es de calidad muy buena, pero luego las probé en la nieve y da buena sensación. Son muy cómodas, de fácil sujeción, y realmente ligeras. Agarran bien incluso en nieve helada. la única pega que les pongo es que no disponen de mecanismo para sujetar el talón para los descensos, aunque no lo sentí necesario.",4,es,"I bought them because of the good opinions I read about it and the relationship with the price. The first feeling is that it is not of very good quality, but then I tried them in the snow and it feels good. They are very comfortable, easy to hold, and really light. They grip well even in icy snow. The only drawback I have is that they do not have a mechanism to hold the heel for descents, although I did not feel it was necessary."
76,"He utilizado una carilla y bien. Pero no vienen 75 unidades sino 49, pero por el precio no hay pegas.",2,es,"I have used a veneer and it worked well. But they don't come in 75 units but 49, but for the price there are no problems."
77,La regleta en forma de piso hace que la distribución de los enchufes sea bastante buena y me queda muy bien encima de la mesa. Es mucho mas estética y funcional que una regleta alargada convencional. Los dos puertos USB me vienen bastante bien para cargar mis dispositivos sin necesidad de ocupar una tomas con adaptadores de corriente para esos dispositivos. La calidad de los materiales en general es bastante buena. El único detalle que le he notado que no tiene mucha importancia es que en algunas tomas tengo que hacer algo mas de fuerza de lo normal para meter los enchufes pero nada grave. La única pega que le encuentro es que su precio es algo elevado.,4,es,The floor-shaped power strip makes the distribution of the sockets quite good and it looks great on my table. It is much more aesthetic and functional than a conventional elongated power strip. The two USB ports are quite good for me to charge my devices without having to occupy an outlet with power adapters for those devices. The quality of the materials in general is quite good. The only detail that I have noticed that is not very important is that in some sockets I have to use a little more force than normal to insert the plugs but nothing serious. The only drawback I can find is that its price is somewhat high.
78,"Mala experiencia, no me ha durado ni 3 meses. La regleta se apaga sola al cabo de unos pocos minutos de estar encendida. La uso para la tele y el decodificador, por lo que la carga eléctrica que tiene que soportar en mínima. Tengo otros dispositivos iguales de otra marca y con mucho mas tiempo de uso que funcionan correctamente.",1,es,"Bad experience, it didn't even last 3 months. The power strip turns off by itself after a few minutes of being turned on. I use it for the TV and the decoder, so the electrical load it has to support is minimal. I have other similar devices from another brand and with much more time of use that work correctly."
79,Viene plano no sé cómo se monta,2,es,It comes flat I don't know how to assemble it
80,"No me llegaron las 3 piezas, calidad precio se podría mejorar, no ha llegado a final de curso.",3,es,"I didn't get the 3 pieces, quality-price could be improved, it hasn't arrived at the end of the course."
81,De buena calidad pero es estrecho,3,es,Good quality but narrow
82,"Muy buen producto, se adhiere muy bien al instrumento musical y el método para meter y sacar púas es cómodo y rápido",4,es,"Very good product, it adheres very well to the musical instrument and the method of inserting and removing picks is comfortable and fast"
83,Los espejos parecen de calidad aceptable. Lo unico que vino un espejo bastante rayado.,3,es,The mirrors seem to be of acceptable quality. The only thing that came was a pretty scratched mirror.
84,No he recibido aun el envío a pesar que en la pagina dice que la entrega estaba programada para el 05 de febrero. Tampoco tengo la posibilidad de ver donde se encuentra el paquete. Favor contactarme,1,es,I have not yet received the shipment even though the page says that delivery was scheduled for February 5th. I also do not have the possibility to see where the package is located. Please contact me
85,"No es lo que esperaba, no es silencioso ni rota 180°, además solo lo notas si estás muy cerca y en las piernas...",2,es,"It's not what I expected, it's not silent nor does it rotate 180°, and you only notice it if you're very close and on your legs..."
86,"No ha durado ni 2 meses se ha apagado,ni carga esta muerto dinero a la basura.",1,pt,"It hasn't lasted even 2 months, it has been turned off, and the charge is dead, money in the trash."
87,El sonido normalito. El jack una MIERDA se suelta.,2,es,The normal sound. The jack a SHIT comes loose.
88,Era mas largo que el mio y no me valía,1,es,It was longer than mine and it wasn't worth it.
89,No he recibido el producto con el color que se publicita. He recibido una motosierra de color naranja. Es un modelo genérico que se vende bajo diferentes marcas.,3,es,I have not received the product with the color advertised. I received an orange chainsaw. It is a generic model that is sold under different brands.
90,"Se cae mucho pelo, pero no está mal",4,es,"A lot of hair falls out, but it's not bad"
91,"Llegó a tiempo y sin problemas. Es un regalo para un amigo fotógrafo, y él está contento. Buena calidad de producto.",5,es,"It arrived on time and without problems. It's a gift for a photographer friend, and he's happy. Good product quality."
92,No sirve para nada. Mal acabado y poca explicacion. No lo compraria jamas,1,es,It's useless. Bad finish and little explanation. I would never buy it
93,Nunca llegé a recibirlo. Se debió caer al mar y sera pacto de tiburones. Sin embargo el vendedor fue muy amable y me devolvieron el dinero inmediatamente previo disculpas reiteradas.,2,es,"I never got to receive it. It must have fallen into the sea and it was a shark pact. However, the seller was very kind and gave me my money back immediately after repeated apologies."
94,Perfecto muy satisfecho con el separador j i j i j i j i j i j i j i,5,hr,"Perfect, very satisfied with the separator j i j i j i j i j i j i j i"
95,Me he llevado un chasco al recibirlo porque el embalaje está dañado. No he podido probar las arcillas porque son un regalo para una niña. Necesitaré comprar una cajita porque así no se puede entregar.,2,es,I was disappointed when I received it because the packaging was damaged. I haven't been able to try the clays because they are a gift for a girl. I will need to buy a box because it cannot be delivered that way.
96,"que sea un color uniforme y mate, el tacto es suave y se acopla bien al ordenador. Lo mantiene limpio y la funda para el teclado es perfecta para evitar polvo y manchas, es traslúcida.",4,es,"It is a uniform and matte color, the touch is soft and it fits well with the computer. It keeps it clean and the keyboard cover is perfect for avoiding dust and stains, it is translucent."
97,No me sirvió porno indicar la distancia entre los tornillos.,2,es,It didn't help me to indicate the distance between the screws.
98,"Muy práctico, cómodo,ajustable.cumple con su función",5,es,"Very practical, comfortable, adjustable. It fulfills its function"
99,Solo luces. Muy bonito pero de refrigeración deja mucho que desear.,3,es,Just lights. Very nice but cooling leaves a lot to be desired.
100,"Después de unos meses de uso puedo dar una opinión muy exacta del producto. Lo primero y más importante es que alumbra una barbaridad. La luz central es espectacular, tiene zoom. Luego tiene dos laterales que alumbran un poco menos pero que consumen menos baterías. En contra juega un poco su peso y volumen, aunque yo la he utilizado para hacer rutas nocturnas y pescar así como para el camping, y no agobia. Si que se necesario ponerse algo en la frente porque molesta un poco. Las baterías que vienen con ella al principio duraban seis horas pero con el uso el tiempo se ha reducido a no más de tres horas. Imprescindible baterías de recambio de bastante capacidad. Viene con un cable usb para cargar. Personalmente es una gran compra por el precio que tiene, aunque las he visto un poco más pequeñas con similares prestaciones.",4,es,"After a few months of use I can give a very accurate opinion of the product. The first and most important thing is that it illuminates a lot. The central light is spectacular, it has zoom. Then it has two sides that illuminate a little less but consume less batteries. Its weight and volume play a little against it, although I have used it for night routes and fishing as well as for camping, and it does not weigh down. Yes, it is necessary to put something on your forehead because it bothers a little. The batteries that came with it initially lasted six hours but with use the time has been reduced to no more than three hours. Replacement batteries of sufficient capacity are essential. It comes with a USB cable for charging. Personally, it is a great purchase for the price, although I have seen them a little smaller with similar features."
101,A mi bebe de 10 meses le ha encantado. Las ilustraciones son muy simpaticas y es fácil de manejar para los niños,5,es,My 10 month old baby loved it. The illustrations are very cute and it is easy for children to handle.
102,"Funda que se adapta perfectamente al teléfono, con acceso perfecto a todos los botones y llegó el día esperado .",5,es,"Case that fits the phone perfectly, with perfect access to all the buttons and arrived on the expected day."
103,Esta bien sin llegar a la calidad de la orginal,4,es,It is fine without reaching the quality of the original
104,"La funda se adapta más o menos bien al sofá, aunque al ser éste de brazos bajos, queda algo suelta en la unión de éstos con el respaldo y el asiento. Las medidas, no obstante, no se corresponden muy bien con la mayoría de sofás, ya que al mío, a pesar de ser de 2 plazas, le viene justa la que se anuncia como para sofá de 3 plazas, que fue la que pedí en previsión precisamente de que sucediese esto (más vale que sobre que no que falte). Por lo demás, la calidad parece buena, aunque todavía hace poco tiempo que la tengo y no ha sufrido demasiado desgaste.",4,es,"The cover fits the sofa more or less well, although since it has low arms, it is somewhat loose at the junction of the arms with the backrest and the seat. The measurements, however, do not correspond very well with most sofas, since mine, despite being a 2-seater, fits just what is advertised as a 3-seater sofa, which was the one I ordered in anticipation precisely that this would happen (it is better to be over than missing). Otherwise, the quality seems good, although I've only had it for a short time and it hasn't suffered much wear and tear."
105,Lo esperado . Muy bonita,5,es,The expected . Lovely
